,city,pop,murder,robbery,property_crime,murder_raw,robbery_raw,pop_sq
194,Middleport Village,1813.0,0,0,19.0,0.0,0.0,3286969.0
195,Middletown,27809.0,1,1,852.0,1.0,47.0,773340481.0
196,Monroe Village,8544.0,0,1,137.0,0.0,5.0,72999936.0
197,Montgomery Town,8961.0,0,1,114.0,0.0,1.0,80299521.0
198,Montgomery Village,4188.0,0,0,45.0,0.0,0.0,17539344.0
199,Monticello Village,6582.0,0,1,276.0,0.0,16.0,43322724.0
200,Moravia Village,1263.0,0,0,15.0,0.0,0.0,1595169.0
201,Moriah Town,3628.0,0,0,9.0,0.0,0.0,13162384.0
202,Mount Hope Town,7112.0,0,0,32.0,0.0,0.0,50580544.0
203,Mount Kisco Village,11028.0,0,1,108.0,0.0,6.0,121616784.0
204,Mount Morris Village,2912.0,0,1,74.0,0.0,1.0,8479744.0
205,Mount Pleasant Town,26564.0,0,1,226.0,0.0,6.0,705646096.0
206,Mount Vernon,68071.0,1,1,1436.0,2.0,228.0,4633661041.0
207,Newark Village,8978.0,0,1,334.0,0.0,7.0,80604484.0
208,New Berlin Town,1622.0,0,0,0.0,0.0,0.0,2630884.0
209,Newburgh,28571.0,1,1,1040.0,5.0,150.0,816302041.0
210,Newburgh Town,30984.0,0,1,1353.0,0.0,15.0,960008256.0
211,New Castle Town,17864.0,0,0,77.0,0.0,0.0,319122496.0
212,New Hartford Town and Village,20355.0,0,1,806.0,0.0,3.0,414326025.0
213,New Paltz Town and Village,14248.0,0,1,200.0,0.0,4.0,203005504.0
214,New Rochelle,78800.0,0,1,1391.0,0.0,81.0,6209440000.0
215,New Windsor Town,25767.0,0,1,471.0,0.0,8.0,663938289.0
217,New York Mills Village,3324.0,0,0,64.0,0.0,0.0,11048976.0
218,Niagara Falls,49574.0,1,1,2807.0,3.0,166.0,2457581476.0
219,Niagara Town,8241.0,0,1,489.0,0.0,2.0,67914081.0
220,Niskayuna Town,22097.0,0,1,341.0,0.0,5.0,488277409.0
221,Nissequogue Village,1754.0,0,0,8.0,0.0,0.0,3076516.0
222,North Castle Town,12077.0,0,0,68.0,0.0,0.0,145853929.0
223,North Greenbush Town,12137.0,0,1,230.0,0.0,2.0,147306769.0
224,Northport Village,7411.0,0,1,59.0,0.0,1.0,54922921.0
225,North Syracuse Village,6964.0,0,0,111.0,0.0,0.0,48497296.0
226,North Tonawanda,31176.0,1,1,586.0,1.0,17.0,971942976.0
227,Northville Village,1097.0,0,0,1.0,0.0,0.0,1203409.0
228,Norwich,7049.0,0,0,325.0,0.0,0.0,49688401.0
229,Ogdensburg,11072.0,0,1,397.0,0.0,5.0,122589184.0
230,Ogden Town,20026.0,0,1,208.0,0.0,6.0,401040676.0
231,Old Brookville Village,2171.0,0,1,54.0,0.0,1.0,4713241.0
232,Old Westbury Village,4625.0,0,0,39.0,0.0,0.0,21390625.0
233,Olean,14150.0,0,1,593.0,0.0,5.0,200222500.0
234,Oneida,11220.0,0,1,434.0,0.0,4.0,125888400.0
235,Oneonta City,13825.0,0,1,311.0,0.0,11.0,191130625.0
236,Orangetown Town,37438.0,0,1,317.0,0.0,13.0,1401603844.0
237,Orchard Park Town,29386.0,0,1,346.0,0.0,4.0,863536996.0
238,Oriskany Village,1385.0,0,0,10.0,0.0,0.0,1918225.0
239,Ossining Village,25314.0,0,1,243.0,0.0,21.0,640798596.0
240,Oswego City,18139.0,1,1,630.0,1.0,13.0,329023321.0
241,Owego Village,3818.0,0,1,199.0,0.0,2.0,14577124.0
242,Oxford Village,1433.0,0,1,13.0,0.0,1.0,2053489.0
243,Oyster Bay Cove Village,4233.0,0,0,19.0,0.0,0.0,17918289.0
244,Painted Post Village,2116.0,0,0,73.0,0.0,0.0,4477456.0
245,Palmyra Village,3475.0,0,0,41.0,0.0,0.0,12075625.0
246,Peekskill,23908.0,0,1,248.0,0.0,8.0,571592464.0
247,Pelham Manor Village,5558.0,0,1,147.0,0.0,1.0,30891364.0
248,Pelham Village,6982.0,0,1,172.0,0.0,2.0,48748324.0
249,Penn Yan Village,5123.0,0,1,111.0,0.0,1.0,26245129.0
250,Perry Village,3633.0,0,0,99.0,0.0,0.0,13198689.0
251,Piermont Village,2550.0,0,0,19.0,0.0,0.0,6502500.0
252,Pine Plains Town,2460.0,0,0,12.0,0.0,0.0,6051600.0
253,Plattekill Town,10374.0,0,1,106.0,0.0,2.0,107619876.0
254,Plattsburgh City,19672.0,0,1,483.0,0.0,4.0,386987584.0
255,Pleasantville Village,7100.0,0,0,22.0,0.0,0.0,50410000.0
256,Port Byron Village,1274.0,0,0,0.0,0.0,0.0,1623076.0
257,Port Chester Village,29328.0,0,1,572.0,0.0,19.0,860131584.0
258,Port Dickinson Village,1602.0,0,0,31.0,0.0,0.0,2566404.0
259,Port Jervis,8689.0,1,1,284.0,1.0,3.0,75498721.0
260,Portville Village,997.0,0,0,8.0,0.0,0.0,994009.0
261,Potsdam Village,9613.0,0,0,190.0,0.0,0.0,92409769.0
262,Poughkeepsie,30778.0,1,1,787.0,7.0,100.0,947285284.0
263,Poughkeepsie Town,43866.0,1,1,1339.0,1.0,12.0,1924225956.0
264,Pound Ridge Town,5200.0,0,0,33.0,0.0,0.0,27040000.0
265,Pulaski Village,2354.0,0,0,57.0,0.0,0.0,5541316.0
266,Quogue Village,977.0,0,0,41.0,0.0,0.0,954529.0
267,Ramapo Town,87204.0,1,1,567.0,2.0,9.0,7604537616.0
268,Red Hook Village,1947.0,0,0,30.0,0.0,0.0,3790809.0
269,Rensselaer City,9517.0,0,1,159.0,0.0,3.0,90573289.0
270,Rhinebeck Village,2635.0,0,0,42.0,0.0,0.0,6943225.0
